"gender","major","disaster_freq","ai_experience","nt_can_thiet_1","nt_can_thiet_2","nt_can_thiet_3","nb_ai_1","nb_ai_2","nb_ai_3","kv_hieu_qua_1","kv_hieu_qua_2","kv_hieu_qua_3","ln_phi_nhan_tinh_1","ln_phi_nhan_tinh_2","ln_phi_nhan_tinh_3","te_liet_xh_1","te_liet_xh_2","te_liet_xh_3","nham_lan_gkhq_1","nham_lan_gkhq_2","nham_lan_gkhq_3","yd_hanh_vi_1","yd_hanh_vi_2","yd_hanh_vi_3","other_opinions"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Hiện tại mình chưa nghĩ ra"
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảnh, tùy năm","Sử dụng vài lần",4,4,4,2,2,2,5,5,5,2,3,3,4,3,3,3,3,3,2,2,3,"hiện tại thì không có"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,4,3,5,4,3,4,3,4,4,4,4,5,2,2,3,3,3,1,2,2,NA
"Nữ","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Thỉnh thoảnh, tùy năm","Sử dụng thường xuyên",4,4,4,3,3,4,4,5,4,4,4,4,4,5,4,5,4,5,4,4,5,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",4,5,5,4,4,4,4,4,5,3,2,1,2,3,5,3,2,4,2,4,4,NA
"Nữ","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",3,5,2,3,4,1,5,5,4,1,3,5,3,5,1,5,4,3,3,4,4,"không"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,3,2,4,4,3,4,4,4,3,3,3,2,2,1,2,2,2,1,3,3,NA
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",4,4,4,5,4,3,4,4,5,3,3,3,4,3,5,3,3,3,3,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,4,4,5,5,5,3,3,4,2,3,3,3,3,2,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,2,5,5,3,5,5,5,5,2,3,4,5,5,5,5,3,5,4,3,4,"Lo ngại về tính thực tế của AI vì hầu như sinh viên sẽ xài AI free mà dùng bản free như vậy thì thông tin AI đưa tới có thể sẽ lấy từ những nguồn k thực sự chính thống hoặc thông tin chưa qua kiểm chứng. nếu sinh viên đang gặp các vấn đề tâm lý nặng làm theo (vì đã ""quá tuyệt vọng"" mà không kiểm chứng thông tin) thì có thể gây ra hậu quả nghiêm trọng hơn"
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,3,5,5,4,2,4,4,3,3,4,5,3,1,1,2,1,2,1,2,3,"Mong muốn AI sẽ đưa ra các giải pháp cụ thể hơn thay vì chỉ nói chung chung để thoả mãn một phần nhu cầu về chăm sóc sức khoẻ tinh thần của người sử  dụng"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,3,3,3,3,3,4,2,3,4,4,3,3,2,3,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,5,5,2,4,3,4,4,3,4,4,4,4,2,3,2,4,4,2,2,3,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,2,2,2,5,3,4,4,4,4,2,4,4,4,4,3,3,4,3,4,4,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,5,3,4,3,3,4,3,4,3,3,3,3,2,2,3,4,3,2,2,2,"Không có"
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",4,4,4,4,4,4,3,3,4,4,4,4,4,2,2,2,4,2,2,3,2,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",5,5,5,5,5,5,3,5,3,1,1,5,5,5,2,2,5,5,1,4,5,"Không"
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,5,4,5,5,4,5,4,3,3,4,4,4,4,4,2,5,1,3,3,"Tôi mong muốn AI có thể đưa ra một câu trả lời vững chắc, không bị thay đổi khi mà đưa ra những cái câu hỏi hay những cái khía cạnh hay ý kiến khác nhau về cùng một vấn đề. Nó sẽ khiến người dùng có một cái nhìn khách quan hơn về giải pháp cũng như biện pháp để ổn định sức khỏe tinh thần hơn thay vì cảm giác được chữa trị tạm thời ở khía cạnh này mà không được chữa trị ở khía cạnh khác."
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,5,2,2,4,3,4,5,5,4,4,4,5,3,4,4,5,4,3,4,4,"Không"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",2,2,4,3,5,3,3,1,3,2,3,4,5,2,1,3,3,2,1,1,1,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,"Không"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,5,5,5,5,5,4,3,5,4,5,3,5,4,5,3,4,3,5,2,5,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,2,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",3,5,5,2,5,5,3,3,5,2,2,2,3,3,4,3,2,3,3,4,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,5,5,5,4,1,4,2,1,1,1,4,2,1,3,1,4,1,3,4,"Dạ khum ạ, em thấy phần điền form khảo sát thông tin đã rất kỹ rồi ạ. Chúc các bạn/anh chị đến từ Khoa Hệ thống Thông tin, Trường Đại học Kinh tế - Luật, ĐHQG-HCM sẽ thành công trong bài nghiên cứu này nhóooo"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",5,4,5,4,5,4,5,5,5,3,3,2,3,3,1,4,1,3,3,5,3,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",3,2,3,3,4,3,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",4,4,5,3,4,3,4,3,4,4,4,4,4,4,3,3,3,4,3,4,3,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,3,2,4,3,2,2,4,3,3,2,3,4,4,3,4,4,3,3,4,3,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",5,3,2,3,5,4,5,4,1,4,1,5,5,1,1,2,1,5,1,2,1,NA
"Nam","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,3,5,4,4,2,3,4,4,4,4,4,4,2,4,2,3,3,3,2,3,NA
"Nam","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",3,4,2,3,2,4,2,4,3,2,4,3,2,3,4,2,3,2,3,3,4,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Hằng năm, đều đặn","Sử dụng vài lần",3,5,5,3,3,2,5,5,4,4,5,4,5,4,2,2,2,4,1,4,4,"Có những tình huống tâm lý bị ảnh hưởng khá nặng bởi nhiều nguyên nhân nhưng AI chưa thực sự giải quyết rõ ràng hoặc thấu hiểu. AI thường chỉ làm tốt nhiệm vụ khi mình đề cập đến vấn đề gây ra bởi những tác động đơn giản hoặc những vấn đề nhiều người gặp phải."
"Nam","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,3,4,2,5,4,5,4,5,3,3,2,2,2,5,3,3,3,2,5,4,"Không có"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,4,4,4,5,3,4,4,4,2,3,4,2,2,2,2,2,2,2,2,3,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,3,4,4,4,5,2,3,3,2,3,3,4,3,3,3,4,3,3,3,4,"AI chưa có cảm xúc quá nhiều, thường được điều khiển để phản ứng lại một số cảm xúc cụ thể"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,4,5,3,3,4,4,4,5,5,5,4,3,2,2,2,2,1,2,3,"Không ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,4,3,3,4,3,4,4,3,4,4,3,3,4,4,3,4,3,4,4,"AI khó có thể hiểu cảm xúc của con người"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",3,4,3,4,4,3,4,4,2,5,5,5,5,3,4,1,1,3,2,3,1,"hiện tại AI đã làm quá tốt việc hỗ trợ nên tôi nghĩ mảng đó tôi ko có thêm kỳ vọng nào khác, chỉ là nên lập trình để AI nhắc nhở việc ko nên lạm dụng mà khuyên theo hướng nên kết nối với người khác nhiều hơn"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,5,4,4,5,5,4,4,4,4,3,4,4,3,3,4,3,3,3,3,3,NA
"Nữ","Khoa học Tự nhiên, Y dược & Khác (Y, Dược, Sinh học, Hóa học, Sức khỏe...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,4,4,4,3,4,4,4,4,4,4,4,3,2,3,2,4,2,3,3,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,4,5,4,2,4,5,4,5,4,1,5,2,5,4,2,1,1,2,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",5,5,5,3,5,3,5,4,5,1,1,1,4,4,2,4,4,4,3,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,5,4,5,4,5,3,4,4,5,5,4,4,5,5,4,4,5,5,5,5,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",4,5,5,2,5,4,5,5,5,2,2,4,2,2,4,4,2,3,2,5,4,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,5,3,2,4,2,4,5,2,4,5,5,5,2,2,5,4,4,2,4,2,"Cần một người bạn trai"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Tôi muốn AI có thể ghi nhớ dữ liệu từ nhiều đoạn chat khác nhau tốt hơn."
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,3,4,3,4,4,3,3,3,3,4,4,3,3,3,2,3,3,1,2,1,"Dạ k ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,3,2,5,4,5,5,3,1,4,4,5,4,2,2,4,5,5,2,3,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Sử dụng vài lần",4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,"Em nghĩ nên thêm vài cuốn sách tâm lý để AI đọc và hiểu rõ hơn"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Sử dụng thường xuyên",5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,4,3,4,3,3,5,5,3,4,2,4,3,4,4,3,4,2,3,4,"Không"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,3,3,4,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,1,2,3,3,4,4,4,3,4,3,4,2,1,1,3,2,4,2,1,2,"dạ  ko ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,4,3,5,4,4,5,3,4,2,2,3,3,2,1,1,3,2,1,3,4,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,4,4,3,4,4,4,3,3,4,4,4,5,3,2,3,4,3,4,3,4,"không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,4,3,4,2,3,4,4,5,5,5,4,4,4,4,4,4,3,2,3,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,4,5,5,5,4,4,4,5,5,5,5,1,3,4,1,2,1,3,2,NA
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,3,4,5,5,4,5,4,2,3,3,3,4,4,3,4,4,2,4,4,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Sử dụng vài lần",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,2,4,2,5,4,5,5,4,1,2,2,2,4,4,4,3,2,1,3,4,"Không có"
